crop,valid_season,soil_requirement,ph_text,temp_text,rain_text,organic_carbon_text,humidity_text,source,ph_min,ph_max,temp_min,temp_max,rain_min,rain_max
Brinjal,Rabi,Sandy loam,8.3 (Alkaline),11 - 46 (Broad),729 (Annual Avg),0.47 g kg^{-1} (Low),60 - 80 (Moderate),Project Crop Recommendation.docx table 22,7.800000000000001,8.8,11.0,46.0,729.0,729.0
Brinjal,Rabi,Silt Loam to Clay Loam,5.5 - 7.0,21 - 30,600 - 800,Medium to High,50% - 70%,Project Crop Recommendation.docx table 27,5.5,7.0,21.0,30.0,600.0,800.0
Carrot,Rabi,Loamy Sand,Not found,15 - 20(Ideal for root color),370 mm (Normal district annual),Not found,Low to Moderate,Project Crop Recommendation.docx table 24,,,15.0,20.0,370.0,370.0
Castor,Kharif,Deep sandy loam to fine loamy,5.0 – 6.0 (Opt.) to 7.5 (Tol.),20 – 27°C (Growth); Blasting if >41°C,500 – 750 mm,Responds to 12.5 t/ha FYM,Low throughout season,Project Crop Recommendation.docx table 12,5.0,6.0,20.0,,500.0,750.0
Castor,Kharif,Sandy,Not found,Not found,Not found,Low,Not found,Project Crop Recommendation.docx table 23,,,,,,
Castor,Kharif,Light Alluvial/ Sandy Loam,6.0 - 7.5,20 - 30,500 - 750 mm,0.1 - 0.15% (Typical),Low,Project Crop Recommendation.docx table 24,6.0,7.5,20.0,30.0,500.0,750.0
Castor,Kharif,Deep Sandy Loam,6.0 – 7.5,20 – 35,500 – 700,Low (<0.50%),50 – 70,Project Crop Recommendation.docx table 29,6.0,7.5,20.0,35.0,500.0,700.0
Castor,Kharif,Well-drained Sandy Loam,6.0 – 7.5,20°C – 35°C,500 – 750 mm,0.3% – 0.6%,Low,Project Crop Recommendation.docx table 3,6.0,7.5,20.0,35.0,500.0,750.0
Castor,Kharif,Sandy Loam / Loamy,6.0−7.5,20−30,500-750 mm,Not found,Low,Project Crop Recommendation.docx table 7,6.0,7.5,20.0,30.0,500.0,750.0
Castor,Rabi,Sandy Loam,5.0–7.5,20–30,350–600 mm,High needed,Low,Project Crop Recommendation.docx table 33,5.0,7.5,20.0,30.0,350.0,600.0
Cauliflower,Kharif,Loam,6.0−7.5,15−25,Moderate,Not found,Not found,Project Crop Recommendation.docx table 5,6.0,7.5,15.0,25.0,,
Chickpea,Rabi,Deep Brown Loamy,6.0–7.5,15–25 (Avoid frost),400–600,Low to Medium,Low,Project Crop Recommendation.docx table 11,6.0,7.5,15.0,25.0,400.0,600.0
Chickpea,Rabi,Sandy Loam to Loamy Sand,7.0 - 8.0,15 - 25,400 - 600,0.35 - 0.45,Low to Medium,Project Crop Recommendation.docx table 13,7.0,8.0,15.0,25.0,400.0,600.0
Chickpea,Rabi,Loamy to Sandy loam,7.0 – 8.5,10 – 25 (Cool/Dry),400 – 600 (Total),0.3 – 0.4%,Low,Project Crop Recommendation.docx table 17,7.0,8.5,10.0,25.0,400.0,600.0
Chickpea,Rabi,Sandy Loam / Loamy Sand,7.0 - 8.0,10 - 25,600 - 1000 mm,0.3 - 0.4%,30 - 45%,Project Crop Recommendation.docx table 18,7.0,8.0,10.0,25.0,600.0,1000.0
Chickpea,Rabi,Sandy loam,7.0 - 8.5,10 - 25,350 - 450,Low,Low,Project Crop Recommendation.docx table 26,7.0,8.5,10.0,25.0,350.0,450.0
Chickpea,Rabi,Light Sandy Loam to Clay,6.0 - 8.5,20 - 30,600 - 1000(Annual),Low; N-fixation helps,30% - 50%,Project Crop Recommendation.docx table 27,6.0,8.5,20.0,30.0,600.0,1000.0
Chilli,July-Aug/Oct-Nov,Well-drained Loamy,6.0 – 7.0,20 – 25,625 – 1500,High,60 – 70%,Project Crop Recommendation.docx table 10,6.0,7.0,20.0,25.0,625.0,1500.0
Chilli,Rabi,Sandy loam,8.3 (Alkaline),11 - 46 (Broad),729 (Annual Avg),0.47 g kg^{-1} (Low),60 - 80 (Moderate),Project Crop Recommendation.docx table 22,7.800000000000001,8.8,11.0,46.0,729.0,729.0
Chilli,Rabi,Well-drained Loam,6.5 - 7.5,20 - 25,625 - 1200 mm,Rich in organic matter,Warm and Humid,Project Crop Recommendation.docx table 24,6.5,7.5,20.0,25.0,625.0,1200.0
Chilli,Rabi,Well-drained Loamy/Black,6.0 - 7.5,20 - 30,600 - 1000,Prefers rich organic matter,50% - 60%,Project Crop Recommendation.docx table 27,6.0,7.5,20.0,30.0,600.0,1000.0
Chilli,Rabi,Light Fertile Loam,6.0 – 7.0,18 – 40,625 – 1500,Not found,Not found,Project Crop Recommendation.docx table 31,6.0,7.0,18.0,40.0,625.0,1500.0
Chilli,Rabi,Well-drained Loam,6.5 - 7.5,20 - 25,625 - 1500,High (Req.),Warm Humid,Project Crop Recommendation.docx table 35,6.5,7.5,20.0,25.0,625.0,1500.0
Chilli,Rabi,Well-drained Loam,6.0−7.0,20−30,600−1000 mm,Not found,Not found,Project Crop Recommendation.docx table 5,6.0,7.0,20.0,30.0,600.0,1000.0
Chilli,Rabi,Sandy / Loamy,Not found,20−30,Moderate,Not found,Not found,Project Crop Recommendation.docx table 7,,,20.0,30.0,,
Chilli,Rabi,Loam/Clay,6.0 - 7.0,18 - 40,625 - 1500,Medium ($0.5-0.7$),50 - 60,Project Crop Recommendation.docx table 8,6.0,7.0,18.0,40.0,625.0,1500.0
Chillies,Rabi,Loamy to Clayey,6.0 – 7.5,20 – 30,600 – 1000,Rich in Organic Matter,50 – 60,Project Crop Recommendation.docx table 29,6.0,7.5,20.0,30.0,600.0,1000.0
Citrus,Perennial,"Deep, well-drained Sandy Loam",5.5 - 7.5,13 - 37,750 - 1000,Requires organic enrichment,50% - 65%,Project Crop Recommendation.docx table 27,5.5,7.5,13.0,37.0,750.0,1000.0
Coriander,Rabi,Heavy Clay / Loam,7.0,10 - 25,Not found* (Rabi),Medium / Organic Module,,Project Crop Recommendation.docx table 1,6.5,7.5,10.0,25.0,,
Coriander,Rabi,Black/Heavy Soil,6.0–8.0,20–25 (Cool/Dry preferred),650–1000 (Zone Avg),Medium,Low to Moderate,Project Crop Recommendation.docx table 11,6.0,8.0,20.0,25.0,650.0,1000.0
Coriander,Rabi,Silt/Loamy,6.0-8.0,20-25,75-100,Not found,40-50,Project Crop Recommendation.docx table 14,6.0,8.0,20.0,25.0,75.0,100.0
Coriander,Rabi,Loam to Black Clay,6.0 - 8.0,15 - 25,500 - 600,Not found,Low during maturity,Project Crop Recommendation.docx table 16,6.0,8.0,15.0,25.0,500.0,600.0
Coriander,Rabi,Loam to Clay Loam,7.0 - 8.0,20 - 25 (Growth),500 - 700,Not found,40 - 60,Project Crop Recommendation.docx table 20,7.0,8.0,20.0,25.0,500.0,700.0
Coriander,Rabi,Silt / Loam / Clay,6.0 - 8.0,17 - 27,75 - 100,0.5 - 0.75,40 - 60,Project Crop Recommendation.docx table 25,6.0,8.0,17.0,27.0,75.0,100.0
Coriander,Rabi,Well-drained Silt/Loam,6.0 - 8.0,15 - 28(Cool/Dry),75 - 100,Responds to 10 {t/ha} FYM,40% - 55%,Project Crop Recommendation.docx table 27,6.0,8.0,15.0,28.0,75.0,100.0
Coriander,Rabi,Loamy Soils,7.0 - 8.0,15 - 25,300 - 400 (Irrigated),Low to Medium,Low at harvest,Project Crop Recommendation.docx table 34,7.0,8.0,15.0,25.0,,
Coriander,Rabi,Loam / Sandy Loam,8.0−8.3,15−25,500−600,0.15−0.23,Not found,Project Crop Recommendation.docx table 4,8.0,8.3,15.0,25.0,500.0,600.0
Cotton,Kharif,Loam/Sandy Loam,7.5–8.5,21–32,700–1200mm,0.20–0.26%,High,Project Crop Recommendation.docx table 23,7.5,8.5,21.0,32.0,700.0,1200.0
Cotton,Kharif,Clay Loam,7.0 - 8.5,20 - 30,Warm/Moist Needed,Not found,High,Project Crop Recommendation.docx table 9,7.0,8.5,20.0,30.0,,
Cowpea,Kharif,Well-drained Sandy,6.0 – 7.5,25 – 35,400 – 600,Not found,Moderate,Project Crop Recommendation.docx table 32,6.0,7.5,25.0,35.0,400.0,600.0
Cumin,Rabi,Sandy to sandy loam,7.0 – 8.5,20-30°C (Germination); 20-25°C (Growth),Low; dry weather needed at maturity,Low (0.09 – 0.215%),Low; humidity/dew causes diseases,Project Crop Recommendation.docx table 12,7.0,8.5,20.0,30.0,,
Cumin,Rabi,Well-drained Sandy Loam,6.5 - 8.5,20∘C to 30∘C,30 - 270 mm,0.2% - 0.6%,Very Low,Project Crop Recommendation.docx table 15,6.5,8.5,20.0,30.0,30.0,270.0
Cumin,Rabi,Sandy loam to medium heavy,6.5 – 7.5,10 – 30 (Vegetative),300 – 450 (Total water),0.6% or higher (Preferred),Low (Dry matur.),Project Crop Recommendation.docx table 17,6.5,7.5,10.0,30.0,300.0,450.0
Cumin,Rabi,Sandy Loam,6.5 - 7.5,20 - 30,300 - 2700 mm*,> 0.6%,< 40%,Project Crop Recommendation.docx table 18,6.5,7.5,20.0,30.0,300.0,2700.0
Cumin,Rabi,Loamy to Sandy Loam,6.5 - 8.5,20 - 30,30 - 270 mm,0.6%(Ideal),Very Low; sensitive to dew,Project Crop Recommendation.docx table 24,6.5,8.5,20.0,30.0,30.0,270.0
Cumin,Rabi,Coarse Loamy to Sandy Loam,7.0 - 8.0,9 - 26 (Germination: 10-30),30 - 270,Medium (Required for high yield),Low (Dry/Cloud-free),Project Crop Recommendation.docx table 28,7.0,8.0,9.0,26.0,30.0,270.0
Cumin,Rabi,Coarse Loamy to Loamy,7.0 – 8.0,9 – 26,30 – 270,Not Found (Prefer Fertile),<40 (Dry),Project Crop Recommendation.docx table 29,7.0,8.0,9.0,26.0,30.0,270.0
Cumin,Rabi,Well-drained Loamy Sand,6.5 – 8.5 (Optimal 6.5-7.5),9°C – 26°C,~270 mm (supplemented),≥ 0.6% (Ideally),Low (prevents mildew),Project Crop Recommendation.docx table 3,6.5,8.5,9.0,26.0,270.0,270.0
Cumin,Rabi,Sandy Loam,6.5–8.5,15–30,Not found,High,Very Low,Project Crop Recommendation.docx table 33,6.5,8.5,15.0,30.0,,
Cumin,Rabi,Sandy Loam,6.5 - 8.5,9 - 26,30 - 270,0.60(Ideal),Very Low,Project Crop Recommendation.docx table 35,6.5,8.5,9.0,26.0,30.0,270.0
Cumin,Rabi,Sandy Loam,8.0−8.3,10−30,Low (4−6 irrig.),0.15−0.23,Low (Critical),Project Crop Recommendation.docx table 4,8.0,8.3,10.0,30.0,,
Cumin,Rabi,Sandy Loam,8.0−8.3,10−30,4−6 Irrigations,0.15−0.23%,Low (Critical),Project Crop Recommendation.docx table 7,8.0,8.3,10.0,30.0,,
Custard Apple,July – Aug,Sandy/Loamy,5.5 – 8.0,20 – 35,500 – 800 (Hardy),Moderate,Warm & Humid,Project Crop Recommendation.docx table 10,5.5,8.0,20.0,35.0,500.0,800.0
Custard Apple,Kharif,Rocky to Sandy Loam,6.5 - 7.5,20 - 35,500 - 800,Not found,High Humidity,Project Crop Recommendation.docx table 16,6.5,7.5,20.0,35.0,500.0,800.0
Custard Apple,Kharif,Sandy Loam / Stony,5.5−8.5,20−35,500−800 mm,Not Found,High (Flowering),Project Crop Recommendation.docx table 2,5.5,8.5,20.0,35.0,500.0,800.0
Custard Apple,Kharif,Gravelly/Shallow,Neutral/Saline,20 - 35,Monsoon-fed,Moderate,High (Pollination),Project Crop Recommendation.docx table 30,,,20.0,35.0,,
Custard Apple,Perennial,Shallow/ Rocky to Stony,5.5 - 8.5 (Highly Adaptive),20 - 35 (Optimal),500 - 800 (Rainfed),Low (Tolerant),High (at Fruit Set),Project Crop Recommendation.docx table 22,5.5,8.5,20.0,35.0,500.0,800.0
Date Palm,Perennial,Sandy loam; needs good drainage,7.0 – 8.5,25 – 40°C (Ideal); withstands up to 56°C,Minimal (<230 mm); rain at ripening is bad,Not Found (Needs initial pit filling),Very Low,Project Crop Recommendation.docx table 12,7.0,8.5,25.0,40.0,,230.0
Date Palm,Perennial,Deep Sandy Loam,7.0 - 11.0,25∘C to 45∘C,< 200 mm (Arid),< 0.5% (Low),Very Low,Project Crop Recommendation.docx table 15,7.0,11.0,25.0,45.0,,200.0
Date Palm,Perennial,Sandy to Sandy loam,Up to 8.5 (Hardy),Up to 48 (High heat),Irrigated (Drip),Very Low (Tolerant),Low (Dry ripening),Project Crop Recommendation.docx table 17,8.0,9.0,48.0,48.0,,
Date Palm,Perennial,Deep Sandy Loam,8.0 - 11.0,25 - 45,100 - 200mm,Low,Very Low during ripening,Project Crop Recommendation.docx table 24,8.0,11.0,25.0,45.0,100.0,200.0
Date Palm,Perennial,Deep Sandy loam,8.0 - 11.0,25 - 45,100 - 300,Low,Very Low (Ripening),Project Crop Recommendation.docx table 26,8.0,11.0,25.0,45.0,100.0,300.0
Date Palm,Perennial,Sandy to Sandy Loam,7.0 – 9.0,20°C – 45°C,100 – 250 mm,Low (Desert baseline),Low (ripening period),Project Crop Recommendation.docx table 3,7.0,9.0,20.0,45.0,100.0,250.0
Date Palm,Perennial,Sandy Loam,8.0−11.0,32−40,Rain-free at ripening,Not found,Low,Project Crop Recommendation.docx table 7,8.0,11.0,32.0,40.0,,
Fennel,Rabi,Loamy to Sandy Loam,7.0 - 8.0,15 - 25,500 - 600,0.30 - 0.45,Low,Project Crop Recommendation.docx table 13,7.0,8.0,15.0,25.0,500.0,600.0
Fennel,Rabi,Sandy Loam / Loam,6.5 - 8.5,15 - 25,515 - 570 mm,High,40 - 50%,Project Crop Recommendation.docx table 18,6.5,8.5,15.0,25.0,515.0,570.0
Fennel,Rabi,Loamy / Sandy Loam,6.5 - 8.0,15 - 25,500 - 750 mm,Rich in organic matter,Low; susceptible to frost,Project Crop Recommendation.docx table 24,6.5,8.0,15.0,25.0,500.0,750.0
Fennel,Rabi,Sandy Loam / Black Soil,6.5 – 8.0,15 – 29,400 – 600,Not Found (Prefer High),Low/Moderate,Project Crop Recommendation.docx table 29,6.5,8.0,15.0,29.0,400.0,600.0
Fennel,Rabi,Sandy Loam,6.5–8.0,15–25,50–75 mm,High,Low,Project Crop Recommendation.docx table 33,6.5,8.0,15.0,25.0,50.0,75.0
Fennel,Rabi,Loam,6.5 - 8.5,15 - 30,400 - 500,0.18 - 0.40,Low,Project Crop Recommendation.docx table 35,6.5,8.5,15.0,30.0,400.0,500.0
Fennel,Rabi,Deep Loamy,6.5−8.3,15−38,500−700,0.15−0.23,Not found,Project Crop Recommendation.docx table 4,6.5,8.3,15.0,38.0,500.0,700.0
Fenugreek,Rabi,Loam / Clay Loam,5.3 - 8.2,15 - 28,500 - 750,High (10-15 t/ac FYM),,Project Crop Recommendation.docx table 1,5.3,8.2,15.0,28.0,500.0,750.0
Fenugreek,Rabi,Loamy / Black Soil,6.0 - 7.5,15 - 25,400 - 600,Not found,Moderate,Project Crop Recommendation.docx table 16,6.0,7.5,15.0,25.0,400.0,600.0
Fenugreek,Rabi,Well-drained loamy,5.3 – 8.2,15 – 28 (Cooler),500 – 750 (Total),Medium (Prefers),Low (Dry matur.),Project Crop Recommendation.docx table 17,5.3,8.2,15.0,28.0,500.0,750.0
Fenugreek,Rabi,Sandy loam,7.0 - 8.5,15 - 25,300 - 450,Low,Low,Project Crop Recommendation.docx table 26,7.0,8.5,15.0,25.0,300.0,450.0
Fenugreek,Rabi,Sandy Loam to Loamy,6.0 - 7.5,15 - 25,400 - 600,Medium,60 - 70%,Project Crop Recommendation.docx table 28,6.0,7.5,15.0,25.0,400.0,600.0
Fenugreek,Rabi,Loamy,6.0 – 7.0,10 – 25,300 – 500,Not Found (Prefer Med),Low,Project Crop Recommendation.docx table 29,6.0,7.0,10.0,25.0,300.0,500.0
Fenugreek,Rabi,Well-drained Loam,6.0 – 7.0,10 – 25,500 – 750,High,Not found,Project Crop Recommendation.docx table 31,6.0,7.0,10.0,25.0,500.0,750.0
Fenugreek,Rabi,Loamy / Sandy Loam,5.3 – 8.2,15 – 28,500 – 750,Not found,Low,Project Crop Recommendation.docx table 32,5.3,8.2,15.0,28.0,500.0,750.0
Fenugreek,Rabi,Sandy Loam,7.0 - 8.0,15 - 25,300 - 400 (Irrigated),Low to Medium,Low to Moderate,Project Crop Recommendation.docx table 34,7.0,8.0,15.0,25.0,,
Fenugreek,Rabi,Well-drained Loam,6.0−8.2,15−28,500−750,>0.5 (Ideal),Low (Dry),Project Crop Recommendation.docx table 4,6.0,8.2,15.0,28.0,500.0,750.0
Fenugreek,Rabi,Sandy Loam,5.3 - 8.2,15 - 28,500 - 750,Medium (0.5-0.7),60 - 80,Project Crop Recommendation.docx table 8,5.3,8.2,15.0,28.0,500.0,750.0
Fodder Beet,Rabi,Ridged / Fine,Saline Tol.,15 - 25,800 - 1000 (irr),High (FYM req),Not Found,Project Crop Recommendation.docx table 25,,,15.0,25.0,800.0,1000.0
Fodder Beet,Rabi,Sandy loam,Tol. Saline,15 - 25,Irrigated,Not Found,Not Found,Project Crop Recommendation.docx table 26,,,15.0,25.0,,
Fodder Beet,Rabi,Loamy / Saline,7.0 - 9.5,Moderate,Very High Efficiency,Not found,Low,Project Crop Recommendation.docx table 9,7.0,9.5,,,,
Garlic,Rabi,Loamy,6.0 - 7.5,12 - 25,600 - 700,High (10-15 t/ha FYM),,Project Crop Recommendation.docx table 1,6.0,7.5,12.0,25.0,600.0,700.0
Garlic,Rabi,Loamy to Clay Loam,6.0–8.0,"12–25 (Veg), Warm/Dry (Mat)",600–700,Rich/High,60–70%,Project Crop Recommendation.docx table 11,6.0,8.0,12.0,25.0,600.0,700.0
Garlic,Rabi,Friable,6.0-7.0,12-18,Irrigated,Not found**,Low to Mod,Project Crop Recommendation.docx table 14,6.0,7.0,12.0,18.0,,
Garlic,Rabi,Loam to Clay Loam,6.0 - 7.5,15 - 25,Irrigated,Not found,Moderate,Project Crop Recommendation.docx table 16,6.0,7.5,15.0,25.0,,
Garlic,Rabi,Loamy / Silt Loam,6.0 - 8.0,12 - 25,600 - 700 mm,High,60 - 70%,Project Crop Recommendation.docx table 18,6.0,8.0,12.0,25.0,600.0,700.0
Garlic,Rabi,Fertile Loamy,6.0−8.0,13−24,Not Found,High (Rich),Not Found,Project Crop Recommendation.docx table 2,6.0,8.0,13.0,24.0,,
Garlic,Rabi,Fertile Loam,6.0 - 8.0,12 - 25,600 - 700,0.6 - 0.9,60 - 70,Project Crop Recommendation.docx table 25,6.0,8.0,12.0,25.0,600.0,700.0
Garlic,Rabi,Fertile Loam,6.0 – 7.2,13 – 24,Not found,High (>0.5%),Cool & Moist,Project Crop Recommendation.docx table 31,6.0,7.2,13.0,24.0,,
Garlic,Rabi,Loamy / Sandy Loam,6.0 – 7.5,15 – 25,600 – 700,Not found,Low to Moderate,Project Crop Recommendation.docx table 32,6.0,7.5,15.0,25.0,600.0,700.0
Garlic,Rabi,Fertile Loam,6.0−8.0,12−18,Moist growth period,High preferred,Dry at maturity,Project Crop Recommendation.docx table 7,6.0,8.0,12.0,18.0,,
Garlic,Rabi,Fertile Loam,6.0 - 8.0,15- 25,Moderate,High Preferred,Moderate,Project Crop Recommendation.docx table 9,6.0,8.0,15.0,25.0,,
Ginger,Kharif,Sandy/Red Loam,6.0 – 6.5,12 – 35,1300 – 1500,High (Rich in Humus),70 – 90%,Project Crop Recommendation.docx table 10,6.0,6.5,12.0,35.0,1300.0,1500.0
Ginger,Kharif,Sandy/Clay/Red Loam,6.0−6.5,12−35 (Opt: 19−28),1300−1500 mm,High (Humus-rich),70−90%,Project Crop Recommendation.docx table 2,6.0,6.5,12.0,35.0,1300.0,1500.0
